variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
lprelv5,MESA_AirNRExam5Main,HOW SOON IS LEG PAIN RELIEVED WHEN STILL,NUMERIC,,1=10 MINUTES OF LESS|2=MORE THAN 10 MINUTES,2,phv00175269.v1,phs000209.v13
lipid5c,MESA_AirNRExam5Main,ANY LIPID-LOWERING MEDICATION,NUMERIC,,0=NO|1=YES,2,phv00175409.v1,phs000209.v13
potasex4,MESA_Exam4Main,EXAM OF POTASSIUM BLOOD DRAW,NUMERIC,,3=EXAM 3|4=EXAM 4,2,phv00191192.v1,phs000209.v13
genderf,MESA_FamilyExamMain,GENDER,NUMERIC,,0=FEMALE|1=MALE,2,phv00087073.v1,phs000209.v13
agecat5c,MESA_AirNRExam5Main,AGE CATEGORIES EXAM 5,NUMERIC,,1=45 - 54|2=55 - 64|3=65 - 74|4=75 - 84|5=85 or older,5,phv00174589.v1,phs000209.v13
race_blacknh2,MESA_AncilMesaNeighborScalesExam2,% black non-hispanic,Numeric,,,,phv00218201.v1,phs000209.v13
educ_minhs3,MESA_AncilMesaNeighborScalesExam3,% 25+ with minimum High School education,Numeric,,,,phv00218229.v1,phs000209.v13
paxis5,MESA_AirNRExam5Main,P AXIS (DEGREES),NUMERIC,degrees,,,phv00174889.v1,phs000209.v13
numhhld5,MESA_AirNRExam5Main,# PEOPLE SUPPORTED BY FAMILY INCOME,NUMERIC,,,,phv00175447.v1,phs000209.v13
jobnow2,MESA_Exam2Main,ARE YOU CURRENTLY EMPLOYED OR SELF-EMPLOYED AT A JOB FOR PAY,NUMERIC,,0=NO|1=YES,2,phv00085881.v2,phs000209.v13
curjob3,MESA_Exam3Main,CURRENT OCCUPATION,NUMERIC,,1=HOMEMAKER|2=EMPLOYED FULL TIME|3=EMPLOYED PART TIME|4=EMPLOYED ON-LEAVE (HEALTH)|5=EMPLOYED ON-LEAVE (NON-HEALTH)|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED NOT WORKING|9=RETIRED WORKING|10=RETIRED VOLUNTEERING,10,phv00086567.v2,phs000209.v13
cgr15,MESA_AirNRExam5Main,"AS ADULT, LIVED WITH REGULAR CIGARETTE SMOKER (EXCLUDING SELF) WHO SMOKED IN HOME",NUMERIC,,,,phv00175440.v1,phs000209.v13
chwyrs1c,MESA_AirNRExamMain,CHEWING TOBACCO AMOUNT (# TIMES CHEWED PER DAY * YEARS),NUMERIC,,,,phv00083263.v1,phs000209.v13
dzlnch1,MESA_AirNRExamMain,FALL ASLEEP SITTING QUIETLY AFTER LUNCH WITHOUT ALCOHOL,NUMERIC,,1=NO CHANCE|2=SLIGHT CHANCE|3=MODERATE CHANCE|4=HIGH CHANCE,4,phv00083427.v1,phs000209.v13
alcwkc1,MESA_AirNRExamMain,# DRINKS PER WEEK (CURRENT DRINKERS),NUMERIC,,,,phv00083290.v1,phs000209.v13
htmodp1,MESA_AirNRExamMain,"HEIGHT, PROTOCOL MODIFICATION",NUMERIC,,0=NO|1=YES,2,phv00082684.v1,phs000209.v13
wtls5c,MESA_AirNRExam5Main,WEIGHT LOSS DRUGS,NUMERIC,,0=NO|1=YES,2,phv00175406.v1,phs000209.v13
bmicat1c,MESA_AirNRExamMain,"BODY MASS INDEX, WHO CATEGORIES",NUMERIC,,1=NORMAL|2=GRADE 1 OVERWEIGHT|3=GRADE 2 OVERWEIGHT|4=GRADE 3 OVERWEIGHT,4,phv00082692.v1,phs000209.v13
ESP_whr_baseline,MESA_ESP_HeartGO_Subject_Phenotypes,Waist to hip ratio at baseline,Numeric,,,,phv00178038.v1,phs000403.v3
usd2bp5,MESA_AirNRExam5Main,FORM: DIAS BLOOD PRESSURE: 2ND MEASURE,NUMERIC,,,,phv00175757.v1,phs000209.v13
s1bp1,MESA_AirNRExamMain,SEATED BP: SYSTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00083399.v1,phs000209.v13
d1bp1,MESA_AirNRExamMain,SEATED BP: DIASTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00083400.v1,phs000209.v13
highbp1,MESA_AirNRExamMain,HYPERTENSION: SELF-REPORT,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082997.v1,phs000209.v13
diabins5,MESA_AirNRExam5Main,INSULIN OR HYPOGLYCEMICS FOR DIABETES,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW/UNKNOWN,3,phv00175455.v1,phs000209.v13
glucos1u,MESA_AirNRExamMain,FASTING GLUCOSE ORIGINAL (mg/dl),NUMERIC,mg/dl,,,phv00082954.v1,phs000209.v13
hdlcat5c,MESA_AirNRExam5Main,"HDL CHOLESTEROL, NCEP CATEGORIES",NUMERIC,,"1=HIGH, 60+|2=40 - 59|3=LOW, <40",3,phv00175254.v1,phs000209.v13
hr2dina5,MESA_AirNRExam5Main,HEART RATE 2ND READING,NUMERIC,,,,phv00175593.v1,phs000209.v13
ESP_stroke_during_followup,MESA_ESP_HeartGO_Subject_Phenotypes,0/1 to indicate that a stroke occurred during study follow up.  0 if no stroke during study follow up.  1 if an adjudicated stroke occurred during study follow up (even if baseline stroke status was 1).,Encoded value,,0=No|1=Yes,2,phv00178050.v1,phs000403.v3
coloncn1,MESA_AirNRExamMain,COLON CANCER,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082981.v1,phs000209.v13
asthma1,MESA_AirNRExamMain,ASTHMA: SELF-REPORT,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082975.v1,phs000209.v13
ntca5c,MESA_AirNRExam5Main,NON-TRICYCLIC ANTIDEPRESSANTS OTHER THAN MAOI,NUMERIC,,0=NO|1=YES,2,phv00175379.v1,phs000209.v13
apnea1,MESA_AirNRExamMain,SLEEP APNEA DIAGNOSIS BY DOCTOR,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW/UNKNOWN,3,phv00083431.v1,phs000209.v13
pamcm1c,MESA_AirNRExamMain,MODERATE PHYSICAL ACTIVITY TOTAL (MET-min/wk M-Su),NUMERIC,MET-min/wk M-Su,,,phv00083390.v1,phs000209.v13
q09wmcn5,MESA_AirNRExam5Main,9: MODERATE WALKING EXERCISE (MIN/WK),NUMERIC,Min/Wk,,,phv00175528.v1,phs000209.v13
lpdis5,MESA_AirNRExam5Main,LEG PAIN EVER DISAPPEAR WHILE WALKING,NUMERIC,,0=NO|1=YES,2,phv00175266.v1,phs000209.v13
addqcf_buttr5,MESA_exam5dietnutrients,ADDED DIET QU : COOKING FAT/OIL-BUTTER,NUMERIC,,0=NO|1=YES,2,phv00218732.v1,phs000209.v13
fgfruit5c,MESA_exam5dietnutrients,FOOD GROUP 1 : FRUIT,NUMERIC,,,,phv00218767.v1,phs000209.v13
fgvother5c,MESA_exam5dietnutrients,FOOD GROUP 25 : OTHER VEGETABLES,NUMERIC,,,,phv00218791.v1,phs000209.v13
lprest5,MESA_AirNRExam5Main,LEG PAIN BEGIN WHEN STANDING OR SITTING,NUMERIC,,0=NO|1=YES,2,phv00175262.v1,phs000209.v13
totmed5,MESA_AirNRExam5Main,TOTAL MEDICATIONS,NUMERIC,,,,phv00175326.v1,phs000209.v13
SEX,MESA_Pedigree,Sex,encoded value,,1=male|2=female,2,phv00082632.v1,phs000209.v13
asa5c,MESA_AirNRExam5Main,ASPIRIN FROM 280804 (ANTI-INFLAM AGENTS),NUMERIC,,0=NO|1=YES,2,phv00175342.v1,phs000209.v13
race_blacknh3,MESA_AncilMesaNeighborScalesExam3,% black non-hispanic,Numeric,,,,phv00218228.v1,phs000209.v13
educ_minhs4,MESA_AncilMesaNeighborScalesExam4,% 25+ with minimum High School education,Numeric,,,,phv00218256.v1,phs000209.v13
paxis5c,MESA_AirNRExam5Main,P AXIS (DEGREES) - WITH 999 VALUES RECODED TO MISSING,NUMERIC,degrees,,,phv00175122.v1,phs000209.v13
income1,MESA_AirNRExamMain,"TOTAL GROSS FAMILY INCOME, PAST 12 MONTHS",NUMERIC,,"1=< $5,000|2=$5,000 - 7,999|3=$8,000 - 11,999|4=$12,000 - 15,999|5=$16,000 - 19,999|6=$20,000 - 24,999|7=$25,000 - 29,999|8=$30,000 - 34,999|9=$35,000 - 39,999|10=$40,000 - 49,999|11=$50,000 - 74,999|12=$75,000 - 99,999,|13=$100000 OR MORE",13,phv00083226.v1,phs000209.v13
empstat3,MESA_Exam3Main,HAS EMPLOYMENT STATUS CHANGED SINCE EXAM 1,NUMERIC,,0=NO|1=YES,2,phv00086566.v2,phs000209.v13
curjob4,MESA_Exam4Main,CURRENT OCCUPATION,NUMERIC,,1=HOMEMAKER|2=EMPLOYED FULL TIME|3=EMPLOYED PART TIME|4=EMPLOYED ON-LEAVE (HEALTH)|5=EMPLOYED ON-LEAVE (NON-HEALTH)|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED NOT WORKING|9=RETIRED WORKING|10=RETIRED VOLUNTEERING,10,phv00087004.v2,phs000209.v13
cgr25,MESA_AirNRExam5Main,TOTAL YEARS LIVED WITH CIGARETTE SMOKER,NUMERIC,,,,phv00175441.v1,phs000209.v13
othtob1,MESA_AirNRExamMain,EVER USED OTHER TOBACCO PRODUCTS,NUMERIC,,0=NO|1=YES,2,phv00083248.v1,phs000209.v13
othalc1,MESA_AirNRExamMain,OTHER ALCOHOL (FORMER DRINKERS),NUMERIC,,0=NO|1=YES,2,phv00083287.v1,phs000209.v13
alcwkp1,MESA_AirNRExamMain,# DRINKS PER WEEK WHEN DRINKING (FORMER DRINKERS),NUMERIC,,,,phv00083288.v1,phs000209.v13
lunghta4,MESA_AirNRSpirometry,HEIGHT (cm),NUMERIC,cm,,,phv00083471.v1,phs000209.v13
wtmodp5,MESA_AirNRExam5Main,"WEIGHT, PROTOCOL MODIFICATION?",NUMERIC,,0=NO|1=YES,2,phv00174633.v1,phs000209.v13
bmisc,MESA_AncilMesaStressWave1,BODY MASS INDEX (KG/M^2) AT MESA STRESS EXAM,NUMERIC,KG/M^2,,,phv00219025.v1,phs000209.v13
waistcm2,MESA_Exam2Main,WAIST CIRCUMFERENCE (cm),NUMERIC,cm,,,phv00085801.v2,phs000209.v13
usd3bp5,MESA_AirNRExam5Main,FORM: DIAS BLOOD PRESSURE: 3RD MEASURE,NUMERIC,,,,phv00175760.v1,phs000209.v13
s2bp1,MESA_AirNRExamMain,SEATED BP: SYSTOLIC 2ND READING (mmHg),NUMERIC,mmHg,,,phv00083403.v1,phs000209.v13
d2bp1,MESA_AirNRExamMain,SEATED BP: DIASTOLIC 2ND READING (mmHg),NUMERIC,mmHg,,,phv00083404.v1,phs000209.v13
htn1c,MESA_AirNRExamMain,HYPERTENSION BY JNC VI (1997) CRITERIA,NUMERIC,,0=NO|1=YES,2,phv00082655.v1,phs000209.v13
dm035c,MESA_AirNRExam5Main,DIABETES 2003 ADA FASTING CRITERIA,NUMERIC,,0=NORMAL|1=IFG|2=UNTREATED DIABETES|3=TREATED DIABETES,4,phv00174594.v1,phs000209.v13
glucossc,MESA_AncilMesaStressWave1,FASTING GLUCOSE- CALIBRATED AT MESA STRESS EXAM,NUMERIC,,,,phv00219026.v1,phs000209.v13
ldl5,MESA_AirNRExam5Main,LDL CHOLESTEROL (mg/dl),NUMERIC,mg/dl,,,phv00175238.v1,phs000209.v13
hr3dina5,MESA_AirNRExam5Main,HEART RATE 3RD READING,NUMERIC,,,,phv00175596.v1,phs000209.v13
ESP_stroke_tte_or_censor,MESA_ESP_HeartGO_Subject_Phenotypes,Time to event variable for stroke.  Time (in days) from start of study to stroke for event that occurred during study follow up; and follow up time for those that did not have an stroke during study follow up.,Numeric,days,,,phv00178051.v1,phs000403.v3
lungcn1,MESA_AirNRExamMain,LUNG CANCER,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082980.v1,phs000209.v13
istrd1c,MESA_AirNRExamMain,INHALED STEROIDS FOR ASTHMA,NUMERIC,,0=NO|1=YES,2,phv00083121.v1,phs000209.v13
tca5c,MESA_AirNRExam5Main,TRICYCLIC ANTI-DEPRESSANTS,NUMERIC,,0=NO|1=YES,2,phv00175396.v1,phs000209.v13
badslp1,MESA_AirNRExamMain,"SLEEP WAS RESTLESS, PAST WEEK",NUMERIC,,1=RARELY OR NONE OF THE TIME (< 1 DAY)|2=SOME OR A LITTLE OF THE TIME (1-2 DAYS)|3=MODERATE AMOUNT OF THE TIME (3-4 DAYS)|4=MOST OF THE TIME (5-7 DAYS),4,phv00082931.v1,phs000209.v13
pamvcm1c,MESA_AirNRExamMain,MODERATE AND VIGOROUS PHYSICAL ACTIVITY TOTAL (MET-min/wk M-Su),NUMERIC,MET-min/wk M-Su,,,phv00083392.v1,phs000209.v13
exercm1c,MESA_AirNRExamMain,TOTAL INTENTIONAL EXERCISE (Q9-15) MET-MIN/WK,NUMERIC,MET-min/wk M-Su,,,phv00083389.v1,phs000209.v13
lpnorm5,MESA_AirNRExam5Main,LEG PAIN IF WALK AT ORDINARY PACE ON THE LEVEL,NUMERIC,,0=NO|1=YES,2,phv00175265.v1,phs000209.v13
