table,name,valueType,unit,label:en,question:en,comment:en,value_encoding
Tracking_Baseline_v4-1,ALC_RDWD_NB_TRM,decimal,,Red wine consumed on weekdays  (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on weekdays? Red wine",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT_TRM,text,,Height range,The next questions are about height and weight...How tall are you without shoes on? ,,"01=Less than 1' / 12"" (less than 29.2 cm)|02=1'0"" to 1'11"" / 12"" to 23"" (29.2 to 59.6 cm)|03=2'0"" to 2'11"" / 24"" to 35"" (59.7 to 90.1 cm)|04=3'0"" to 3'11"" / 36"" to 47"" (90.2 to 120.6 cm)|05=4'0"" to 4'11"" / 48"" to 59"" (120.7 to 151.0 cm)|06=5'0"" to 5'11"" (151.1 to 181.5 cm)|07=6'0"" to 6'11"" (181.6 to 212.0 cm)|08=7'0"" and over (212.1 cm and over)"
Tracking_Baseline_v4-1,HWT_CNWGHT_TRM,text,,Self-perceived weight status,"Do you consider yourself overweight, underweight, or just about right?",,1=Overweight|2=Underweight|3=Just about right
Tracking_Baseline_v4-1,HWT_DBMI_TRM,decimal,,Body Mass Index - self reported,,,
Tracking_Baseline_v4-1,HWT_DISW_TRM,text,,BMI classification (International Standard) - self reported,,,1=Underweight|2=Normal|3=Overweight|4=Obese - class I|5=Obese - class II|6=Obese - class III
Comprehensive_Baseline_v7-2,WHC_EXCL_COM,text,,Test exclusion - Hip-Waist Ratio,,,1=true|0=false
Tracking_Baseline_v4-1,CCT_HBP_TRM,text,,High blood pressure or hypertension,Has a doctor ever told you that you have high blood pressure or hypertension?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_DIAB_TRM,text,,"Diabetes, borderline diabetes or high blood sugar","Has a doctor ever told you that you have diabetes, borderline diabetes or that your blood sugar is high?",,1=Yes|2=No
Comprehensive_Baseline_v7-2,BLD_CHOL_COM,decimal,mmol/L,Cholesterol,,,
Tracking_Baseline_v4-1,CCT_HEART_TRM,text,,"Heart disease (including congestive heart failure, or CHF)","Has a doctor ever told you that you have heart disease (including congestive heart failure, or CHF)?",,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CVA_TRM,text,,Stroke or CVA (cerebrovascular accident),Has a doctor ever told you that you have experienced a Stroke or CVA (cerebrovascular accident)?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CANC_TRM,text,,Cancer,Has a doctor ever told you that you had cancer?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_ASTHM_TRM,text,,Asthma,Has a doctor ever told you that you have asthma?,,1=Yes|2=No
Tracking_Baseline_v4-1,DEP_BOTR_TRM,text,,CES-D 10 scale: Frequency easily bothered,How often were you bothered by things that usually don’t bother you?,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Tracking_Baseline_v4-1,CCT_ANXI_TRM,text,,Anxiety disorder,"Has a doctor ever told you that you have an anxiety disorder such as a phobia, obsessive-compulsive disorder or a panic disorder?",,1=Yes|2=No
Tracking_Baseline_v4-1,GEN_MNTL_TRM,text,,Self-rated mental health,"In general, would you say your mental health is excellent, very good, good, fair, or poor?",,1=Excellent|2=Very good|3=Good|4=Fair|5=Poor
Comprehensive_Baseline_v7-2,LSI_ROOM_COM,text,,Been to other rooms of home (excluding bedroom),"During the past four weeks, have you been to other rooms of your home besides the room where you sleep?",,1=Yes|2=No
Tracking_Baseline_v4-1,PA2_SIT_MCQ,text,,PASE scale: Frequency of participation in sitting activities - past 7 days,"Over the past 7 days, how often did you participate in sitting activities such as reading, watching TV, computer activities or doing handicrafts? Would you say...","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,FUL_FSTR_TRM,text,,Difficulty walking up and down stairs,Do you have any difficulty walking alone up and down a flight of stairs?,,1=Yes|2=No|3=Unable to do|4=Don't do on doctor's orders
Tracking_Baseline_v4-1,NUR_FRTVEG_MCQ,text,,SCREEN II-AB: Servings fruits and vegetables per day,"In general, how many servings of fruits and vegetables do you eat in a day?","Part of the SCREEN© instrument (Abbreviated version of SCREEN II©) developed by Dr. Heather Keller (University of Guelph, Ontario, Canada)",
Comprehensive_Baseline_v7-2,NUT_VGOT_COM,text,,"Original unit of response - other vegetables (except carrots, potatoes or salad)","How often do you usually eat other vegetables (except carrots, potatoes or salad)?",,0=Rarely/ Never|1=Per Day|2=Per Week|3=Per Month|4=Per Year
Tracking_Baseline_v4-1,HUP_FREE_MCQ,text,,Usually free of pain and discomfort,Are you usually free of pain or discomfort?,,
Tracking_Baseline_v4-1,GEN_HLTH_TRM,text,,Self-rated general health,"In general, would you say your health is excellent, very good, good, fair, or poor?",,1=Excellent|2=Very good|3=Good|4=Fair|5=Poor
Tracking_Baseline_v4-1,RET_WHY_HL_TRM,text,,Health/ disability/ stress contributed to retirement,There are many reasons why people retire. Which of the following reasons contributed to your decision to retire?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,PKD_EVRMED_MCQ,text,,Other meds or treatment for Parkinson’s Disease - Ever,Have you ever taken any medications or undergone other treatment for Parkinsonism or Parkinson’s Disease?,The Parkinsonism Questionnaire was administered to Tracking Participants in the Maintaining Contact Questionnaire (TMCQ) and to Comprehensive participants in the Data Collection Site Questionnaire (COM),1=Yes|2=NO
Tracking_Baseline_v4-1,SDC_ORTN_TRM,text,,Sexual orientation,Do you consider yourself to be: Heterosexual? Homosexual? Bisexual?,,"1=Heterosexual? (sexual relations with people of the opposite sex)|2=Homosexual, that is lesbian or gay? (sexual relations with people of your own sex)|3=Bisexual? (sexual relations with people of both sexes)"
Tracking_Baseline_v4-1,CAG_GNDR_TRM,text,,Gender of person who participant provided most care giving assistance,Is the person to whom you provided the most assistance male or female?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Male|2=Female
Tracking_Baseline_v4-1,startlanguage_TRM,text,,Language used at start of interview,,,
Tracking_Baseline_v4-1,CR2_DEVC_HD_TRM,text,,Used a hand or arm brace,"During the past 12 months, have you used any of the following assistive devices?",,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_FR_TRM,text,,Parental ethnic background French,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,ED_HSGR_TRM,text,,Education high school graduated,Did you graduate from high school (secondary school)?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Some positive responses are re-coded instances of G.E.D or equivalent reported under the higher education open text variable.,1=Yes|2=No
Comprehensive_Baseline_v7-2,SN_PERWSCH_NB_COM,integer,,Number of people known through work or school,"Aside from family members, close friends, and neighbours, about how many other people do you know personally (i.e., by name) through…Work or school?",Maximum allowable is 100.,
Tracking_Baseline_v4-1,FUL_STOOPDG_TRM,text,,"Degree of difficulty stooping, crouching or kneeling","Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,RPL_STDLIV_TRM,text,,Perceived standard of living after retirement,"When you retire, how adequate do you think your household income and investments will be to maintain your standard of living?",,1=Adequate|2=Barely adequate|3=Inadequate
Tracking_Baseline_v4-1,RET_BCKWRK_LP_TRM,text,,Returned to work after change in marital status,Which of the following reasons contributed to your decision to go back to work after you first retired?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Added variable based on open text responses from other reasons contributed to return to work.,1=Yes|0=No
Tracking_Baseline_v4-1,RET_WHY_MD_TRM,text,,Mandatory employer retirement policy contributed to retirement,There are many reasons why people retire. Which of the following reasons contributed to your decision to retire?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,TRA_MEDTPC_THR_MCQ,text,,Discussed with medical professional: Driving assessment with occupational therapist,Which of the following topics related to your driving did you discuss with the medical professional?,,
Tracking_Baseline_v4-1,SMK_WHLCG_TRM,text,,Ever smoked a whole cigarette,Have you ever smoked a whole cigarette?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Tracking_Baseline_v4-1,SMK_TYPEOT_CG_TRM,text,,Ever used cigars,What other types of tobacco products have you ever used on a regular basis and for a period of at least six months?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,ALC_FREQ_TRM,text,,Frequency alcohol consumption past 12 months,About how often during the past 12 months did you drink alcohol?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,01=Almost every day (incl. 6 times a week)|02=4-5 times a week|03=2-3 times a week|04=Once a week|05=2-3 times a month|06=About once a month|07=Less than once a month|96=Never
Tracking_Baseline_v4-1,ALC_WHWD_NB_TRM,decimal,,White wine consumed on weekdays (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on weekdays? White wine",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT1_TRM,text,,Height 12'' - 23'',The next questions are about height and weight...How tall are you without shoes on? ,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"01=1'0"" / 12"" (29.2 to 31.7 cm)|02=1'1"" / 13"" (31.8 to 34.2 cm)|03=1'2"" / 14"" (34.3 to 36.7 cm)|04=1'3"" / 15"" (36.8 to 39.3 cm)|05=1'4"" / 16"" (39.4 to 41.8 cm)|06=1'5"" / 17"" (41.9 to 44.4 cm)|07=1'6"" / 18"" (44.5 to 46.9 cm)|08=1'7"" / 19"" (47.0 to 49.4 cm)|09=1'8"" / 20"" (49.5 to 52.0 cm)|10=1'9"" / 21"" (52.1 to 54.5 cm)|11=1'10"" / 22"" (54.6 to 57.1 cm)|12=1'11"" / 23"" (57.2 to 59.6 cm)"
Tracking_Baseline_v4-1,HWT_WGHT_KG_TRM,integer,,Weight (Kg) - self reported,,This is a derived variable. It reflects the participant reported weight in Kilograms. A conversion of (weight/ 2.2) was used for participants who reported their weight in lbs.,
Comprehensive_Baseline_v7-2,HWT_DBMI_COM,decimal,,Body Mass Index,,,
Comprehensive_Baseline_v7-2,WHC_STATUS_COM,text,,HipsWaist measure status,,Only test marked as 'Completed' (Category 1) would have a measure value registered,1=Completed|2=NotApplicable|3=Skipped
Tracking_Baseline_v4-1,CCT_HBPPRG_TRM,text,,High blood pressure while pregnant,Were you pregnant when you were diagnosed with high blood pressure?,Asked to female participants only.,1=Yes|2=No
Comprehensive_Baseline_v7-2,DIA_DIAB_COM,text,,"Diabetes, borderline diabetes or blood sugar is high","Has a doctor ever told you that you have diabetes, borderline diabetes or that your blood sugar is high?",,1=Yes|2=No
Comprehensive_Baseline_v7-2,BLD_CHOL_CMT_COM,text,,Cholesterol - comment,,,
Tracking_Baseline_v4-1,CCT_ANGI_TRM,text,,Angina (or chest pain due to heart disease),Has a doctor ever told you that you have angina (or chest pain due to heart disease)?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_TIA_TRM,text,,Mini-stroke or TIA (Transient Ischemic Attack),Has a doctor ever told you that you have experienced a mini-stroke or TIA? (Transient Ischemic Attack)?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CANTP_BR_TRM,text,,Breast cancer,What type(s) of cancer were you diagnosed with?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Comprehensive_Baseline_v7-2,CCC_ASTHM_COM,text,,Asthma,Has a doctor ever told you that you have asthma?,,1=Yes|2=No
Tracking_Baseline_v4-1,DEP_MIND_TRM,text,,CES-D 10 scale: Frequency trouble concentrating,How often did you have trouble keeping your mind on what you were doing?,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Comprehensive_Baseline_v7-2,CCC_ANXI_COM,text,,Anxiety disorder,"Has a doctor ever told you that you have an anxiety disorder such as a phobia, obsessive-compulsive disorder or a panic disorder?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Tracking_Baseline_v4-1,RET_DUEHLTH_TRM,text,,Type of health issues leading to retirement,"You mentioned that you retired because of your health, stress or disability. Was this due to your physical health, your emotional/mental health, or both?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Physical health|2=Emotional/mental health (including stress)|3=Both physical and emotional/mental health
Comprehensive_Baseline_v7-2,LSI_RMFQ_COM,text,,Frequency been to other rooms of home (excluding bedroom),How often did you get to other rooms of your home besides the room where you sleep?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Less than once per week|2=1 to 3 times per week|3=4 to 6 times per week|4=Daily
Tracking_Baseline_v4-1,PA2_SIT_BIN_MCQ,text,,"PASE scale: Participated in sitting activities - Bingo, cards or other games","What were these activities? DO NOT READ LIST, MULTIPLE RESPONSES ALLOWED, CODE ALL THAT APPLY","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,FUL_WK23B_TRM,text,,Difficulty walking 2 to 3 blocks,Do you have any difficulty walking 2 to 3 neighbourhood blocks?,,1=Yes|2=No|3=Unable to do|4=Don't do on doctor's orders
Comprehensive_Baseline_v7-2,NUT_FRUT_COM,text,,Original unit of response - fruit,"How often do you usually eat fruit (fresh, frozen, canned)?",,0=Rarely/ Never|1=Per Day|2=Per Week|3=Per Month|4=Per Year
Comprehensive_Baseline_v7-2,NUT_BTTR_COM,text,,Original unit of response - butter or regular margarine,How often do you usually eat butter or regular margarine on bread or on cooked vegetables only?,,0=Rarely/ Never|1=Per Day|2=Per Week|3=Per Month|4=Per Year
Tracking_Baseline_v4-1,HUP_INTNSTY_MCQ,text,,Usual intensity of pain or discomfort,"How would you describe the usual intensity of your pain or discomfort? Would you say it is mild, moderate, or severe?",,
Comprehensive_Baseline_v7-2,GEN_HLTH_COM,text,,Self-rated general health,"In general, would you say your health is excellent, very good, good, fair, or poor?",,1=Excellent|2=Very good|3=Good|4=Fair|5=Poor
Tracking_Baseline_v4-1,RPL_WHYR_HL_TRM,text,,Health/ disability/ stress an influence to retire,There are many reasons why people retire. Which of the following are likely to be the reasons that you retire?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Added variable based on open text responses from other  likely retirement reasons.,1=Yes|0=No
Tracking_Baseline_v4-1,MED_USEQTY_MCQ,text,,Quantity of prescription medication,In the past month how many prescription medications did you take?,The Medication Use Questionnaire was administered only to participants in the Tracking cohort,1=One|2=Two|3=Three or more
Tracking_Baseline_v4-1,SN_LIVH_M1_S_TRM,text,,Sex of participant - Member 1 in household,RECORD SEX,,F=Female|M=Male
Comprehensive_Baseline_v7-2,CR2_GNDR_COM,text,,Gender of person who provided most non-professional assistance,Is the person who provided the most assistance male or female?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Male|2=Female
Tracking_Baseline_v4-1,SDC_LANG_EN_TRM,text,,Language conversation English,In what languages can you conduct a conversation?,,1=Yes|0=No
Tracking_Baseline_v4-1,CR2_DEVC_NB_TRM,text,,Used neck or back brace,"During the past 12 months, have you used any of the following assistive devices?",Added variable based on open text responses from other assistive devices used.,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_EN_TRM,text,,Parental ethnic background English,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,ED_OTED_TRM,text,,Education other degree,"Have you received any other education that could be counted towards a degree, certificate, or diploma from an educational institution?",,1=Yes|2=No
Tracking_Baseline_v4-1,FUL_PUSHDG_TRM,text,,Degree of difficulty pulling/ pushing large objects,"Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,RPL_WHYR_AR_TRM,text,,Adequacy of retirement income an influence to retire,There are many reasons why people retire. Which of the following are likely to be the reasons that you retire?,,1=Yes|0=No
Tracking_Baseline_v4-1,WEA_MRTL_MCQ,text,,Marital status same as baseline,During your last interview you indicated your marital status as <strong><em>{TOKEN:ATTRIBUTE_5}.</em></strong>  Is this still your current marital status?,,
Tracking_Baseline_v4-1,RET_PENSPL_TRM,text,,Contributed to employer pension before retirement,"Before you retired, did you ever contribute to an employer pension plan, other than the Canada pension plan or Quebec pension plan?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Tracking_Baseline_v4-1,SMK_CURRCG_TRM,text,,Current frequency cigarettes smoked,"At the present time, do you smoke cigarettes daily, occasionally or not at all?",,"1=Daily (at least one cigarette every day for the past 30 days)|2=Occasionally (at least one cigarette in the past 30 days, but not every day)|3=Not at all (you did not smoke at all in the past 30 days)"
Tracking_Baseline_v4-1,SMK_TYPEOT_SM_TRM,text,,Ever used small cigars,What other types of tobacco products have you ever used on a regular basis and for a period of at least six months?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,ALC_OTWD_NB_TRM,decimal,,Another kind of alcohol consumed on weekdays (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on weekdays? Other alcohol",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,ALC_BRWD_NB_TRM,decimal,,Beer consumed on weekdays (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on weekdays? Beer",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT2_TRM,text,,Height 24'' - 35'',The next questions are about height and weight...How tall are you without shoes on? ,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"01=2'0"" / 24"" (59.7 to 62.1 cm)|02=2'1"" / 25"" (62.2 to 64.7 cm)|03=2'2"" / 26"" (64.8 to 67.2 cm)|04=2'3"" / 27"" (67.3 to 69.8 cm)|05=2'4"" / 28"" (69.9 to 72.3 cm)|06=2'5"" / 29"" (72.4 to 74.8 cm)|07=2'6"" / 30"" (74.9 to 77.4 cm)|08=2'7"" / 31"" (77.5 to 79.9 cm)|09=2'8"" / 32"" (80.0 to 82.5 cm)|10=2'9"" / 33"" (82.6 to 85.0 cm)|11=2'10"" / 34"" (85.1 to 87.5 cm)|12=2'11"" / 35"" (87.6 to 90.1 cm)"
Tracking_Baseline_v4-1,HWT_DWT_K_TRM,decimal,,Weight (Kilograms) - self-reported,,,
Comprehensive_Baseline_v7-2,DXA_WBC_WATER_LBM_COM,decimal,,Assumed % of the lean body mass that is water,,,
Comprehensive_Baseline_v7-2,WHC_CLTHLAYERS_COM,text,,Waist measurement taken directly on skin or over layer(s) of clothing,,,1=on skin|2=over one layer of clothing|3=over two layers of clothing
Tracking_Baseline_v4-1,CCT_HBPOT_TRM,text,,High blood pressure other than when pregnant,"Other than when you were pregnant, was there any other time when you were diagnosed with high blood pressure?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No|8=[DO NOT READ] Don't know/No answer
Comprehensive_Baseline_v7-2,DIA_TYPE_COM,text,,Type of diabetes,Were you diagnosed with:,,1=Type I|2=Type II|3=Neither
Tracking_Baseline_v4-1,CCT_AMI_TRM,text,,Heart attack or myocardial infarction,Has a doctor ever told you that you have had a heart attack or myocardial infarction?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CVAFX_TRM,text,,"Suffer from effects of a stroke, or CVA , ministroke or TIA","Has a doctor ever told you that you suffer from the effects of a stroke, or CVA (cerebrovascular accident), ministroke or TIA (Transient Ischemic Attack)?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CANTP_COL_TRM,text,,Colorectal cancer,What type(s) of cancer were you diagnosed with?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,DEP_FLDP_TRM,text,,CES-D 10 scale: Frequency feel depressed,How often did you feel depressed?,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Tracking_Baseline_v4-1,GEN_DMHI_TRM,text,,Perceived Mental Health,,,0=Poor|1=Fair|2=Good|3=Very Good|4=Excellent
Comprehensive_Baseline_v7-2,LSI_RMAID_COM,text,,Used aids  or needed help to get to other rooms of home (excluding bedroom),"Did you use aids or equipment, or need help from another person to get to other rooms of your home besides the room where you sleep?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"1=Yes, personal assistance|2=Yes, equipment only|3=No"
Tracking_Baseline_v4-1,PA2_SIT_COM_MCQ,text,,PASE scale: Participated in sitting activities - Computer activities,"What were these activities? DO NOT READ LIST, MULTIPLE RESPONSES ALLOWED, CODE ALL THAT APPLY","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,ADL_ABLWK_TRM,text,,OARS scale: Able to walk,Can you walk without help?,"Part of the Older Americans Resources and Services (OARS) Multidimensional Assessment scale. Fillenbaum GG, Smyer MA. The development, validity, and reliability of the OARS multidimensional functional assessment questionnaire. J Gerontol 1981; 36(4):428-",1=Yes|2=No
Comprehensive_Baseline_v7-2,NUT_FRUT_NB_COM,decimal,,Frequency of consumption (times per day) of fruit,"How often do you usually eat fruit (fresh, frozen, canned)?","This is a derived variable. It reflects the frequency of food item consumption based on the number of reported times per DAY. Conversions of (times/ 365), (times/ 7) & (times/ 30) were used for participants who reported frequencies in years, weeks and mon",
Comprehensive_Baseline_v7-2,NUT_VGOT_NB_COM,decimal,,"Frequency of consumption (times per day) of other vegetables (except carrots, potatoes or salad)","How often do you usually eat other vegetables (except carrots, potatoes or salad)?","This is a derived variable. It reflects the frequency of food item consumption based on the number of reported times per DAY. Conversions of (times/ 365), (times/ 7) & (times/ 30) were used for participants who reported frequencies in years, weeks and mon",
Tracking_Baseline_v4-1,HUP_PRVACT_MCQ,text,,Activities prevented by pain or discomfort,"How many activities does your pain or discomfort prevent? Would you say none, a few, some, or most?",,
Comprehensive_Baseline_v7-2,RET_WHY_HL_COM,text,,Health/ disability/ stress contributed to retirement,There are many reasons why people retire. Which of the following reasons contributed to your decision to retire?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,TRA_MEDTPC_MED_MCQ,text,,Discussed with medical professional: Safety related to prescription medication,Which of the following topics related to your driving did you discuss with the medical professional?,,
Tracking_Baseline_v4-1,SN_LIVH_M2_S_TRM,text,,Sex of member in household - Member 2,What is the sex of person #2?,,M=Male|F=Female
Comprehensive_Baseline_v7-2,CAG_GNDR_COM,text,,Gender of person who participant provided most care giving assistance,Is the person to whom you provided the most assistance male or female?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Male|2=Female
Tracking_Baseline_v4-1,SDC_LANG_FR_TRM,text,,Language conversation French,In what languages can you conduct a conversation?,,1=Yes|0=No
